SalesOrderID,OrderDate,ShipDate,ShipMethod,CustomerID,CustomerName,Segment,CountryRegion,City,Province,PostalCode,Territory,ProductName,SubCategory,Category,Qty,UnitPrice,Sales,Discount,ProductCost,TotalCost,Profit
43659,7/1/2001,7/8/2001,CARGO TRANSPORT 5,676,,Shop,United States,Austell,Georgia,30106,Southeast,AWC Logo Cap,Caps,Clothing,2,5.1865,10.373,0,5.7052,11.4104,-1.0374
43661,7/1/2001,7/8/2001,CARGO TRANSPORT 5,442,,Shop,Canada,Toronto,Ontario,M4B 1V5,Canada,AWC Logo Cap,Caps,Clothing,4,5.1865,20.746,0,5.7052,22.8208,-2.0748
43662,7/1/2001,7/8/2001,CARGO TRANSPORT 5,227,,Shop,Canada,Toronto,Ontario,M4B 1V5,Canada,Road-150 Red 56,Road Bikes,Bikes,1,2146.962,2146.962,0,2171.2942,2171.2942,-24.3322
43665,7/1/2001,7/8/2001,CARGO TRANSPORT 5,146,,Shop,United States,Seattle,Washington,98104,Northwest,AWC Logo Cap,Caps,Clothing,2,5.1865,10.373,0,5.7052,11.4104,-1.0374
43666,7/1/2001,7/8/2001,CARGO TRANSPORT 5,511,,Shop,United States,San Mateo,California,94404,Southwest,Road-150 Red 56,Road Bikes,Bikes,1,2146.962,2146.962,0,2171.2942,2171.2942,-24.3322
43668,7/1/2001,7/8/2001,CARGO TRANSPORT 5,514,,Shop,Canada,Richmond,British Columbia,V6B 3P7,Canada,Road-150 Red 56,Road Bikes,Bikes,2,2146.962,4293.924,0,2171.2942,4342.5884,-48.6644
43668,7/1/2001,7/8/2001,CARGO TRANSPORT 5,514,,Shop,Canada,Richmond,British Columbia,V6B 3P7,Canada,AWC Logo Cap,Caps,Clothing,4,5.1865,20.746,0,5.7052,22.8208,-2.0748
43671,7/1/2001,7/8/2001,CARGO TRANSPORT 5,200,,Shop,United States,Port Orchard,Washington,98366,Northwest,Road-150 Red 56,Road Bikes,Bikes,1,2146.962,2146.962,0,2171.2942,2171.2942,-24.3322
43673,7/1/2001,7/8/2001,CARGO TRANSPORT 5,618,,Shop,United States,Plaistow,New Hampshire,3865,Northeast,AWC Logo Cap,Caps,Clothing,1,5.1865,5.1865,0,5.7052,5.7052,-0.5187
43675,7/1/2001,7/8/2001,CARGO TRANSPORT 5,670,,Shop,United States,Odessa,Missouri,64076,Central,AWC Logo Cap,Caps,Clothing,2,5.1865,10.373,0,5.7052,11.4104,-1.0374
43677,7/1/2001,7/8/2001,CARGO TRANSPORT 5,679,,Shop,Canada,Montreal,Quebec,H1Y 2H3,Canada,Road-150 Red 56,Road Bikes,Bikes,1,2146.962,2146.962,0,2171.2942,2171.2942,-24.3322
43677,7/1/2001,7/8/2001,CARGO TRANSPORT 5,679,,Shop,Canada,Montreal,Quebec,H1Y 2H3,Canada,AWC Logo Cap,Caps,Clothing,5,5.1865,25.9325,0,5.7052,28.526,-2.5935
43678,7/1/2001,7/8/2001,CARGO TRANSPORT 5,203,,Shop,United States,Monrovia,California,91016,Southwest,AWC Logo Cap,Caps,Clothing,3,5.1865,15.5595,0,5.7052,17.1156,-1.5561
43680,7/1/2001,7/8/2001,CARGO TRANSPORT 5,491,,Shop,United States,Modesto,California,95354,Southwest,Road-150 Red 56,Road Bikes,Bikes,2,2146.962,4293.924,0,2171.2942,4342.5884,-48.6644
43680,7/1/2001,7/8/2001,CARGO TRANSPORT 5,491,,Shop,United States,Modesto,California,95354,Southwest,AWC Logo Cap,Caps,Clothing,3,5.1865,15.5595,0,5.7052,17.1156,-1.5561
43681,7/1/2001,7/8/2001,CARGO TRANSPORT 5,423,,Shop,United States,Biloxi,Mississippi,39530,Southeast,Road-150 Red 56,Road Bikes,Bikes,1,2146.962,2146.962,0,2171.2942,2171.2942,-24.3322
43681,7/1/2001,7/8/2001,CARGO TRANSPORT 5,423,,Shop,United States,Biloxi,Mississippi,39530,Southeast,AWC Logo Cap,Caps,Clothing,2,5.1865,10.373,0,5.7052,11.4104,-1.0374
43683,7/1/2001,7/8/2001,CARGO TRANSPORT 5,506,,Shop,United States,Casper,Wyoming,82601,Northwest,AWC Logo Cap,Caps,Clothing,3,5.1865,15.5595,0,5.7052,17.1156,-1.5561
